algorithm,original,reordered,model,size,column,value
warmup,"[ 27444 128990  22522 125551  80050  36775  29511  14792  11429  67958
 120722 129174 131213   2073 122482   9156  70633  44547  86254  49883
  82375 112735  91182  62579  55226 122239  66671  47138  11284  37810
  64888   2616  54788  47023  68666 127794 110805  16568  14280   6392
 100321 100947  82846  80574   9707 126428 119263  81526  86622  16010
  11194  99253   5327  79006  44459 109981 125962  85613  91568  45879
 122950 101079  90445  94644 116255  28384 113997  14750  41236 109191
  51489  66237  60944  58892  63480  99086   2238 124217 114724  88476
 104062  84058  51278  51365  55047  24171  96107  62553  90068  30310
  29309   7744  68951  40990  95713  39394  18460  35338  92050  20475]","[np.int64(70633), np.int64(100947), np.int64(82846), np.int64(80574), np.int64(44459), np.int64(122950), np.int64(14750), np.int64(116255), np.int64(116255), np.int64(24171), np.int64(96107), np.int64(96107), np.int64(27444), np.int64(128990), np.int64(22522), np.int64(125551), np.int64(80050), np.int64(36775), np.int64(29511), np.int64(14792), np.int64(11429), np.int64(67958), np.int64(120722), np.int64(129174), np.int64(131213), np.int64(2073), np.int64(122482), np.int64(9156), np.int64(44547), np.int64(86254), np.int64(49883), np.int64(82375), np.int64(112735), np.int64(91182), np.int64(62579), np.int64(55226), np.int64(122239), np.int64(66671), np.int64(47138), np.int64(11284), np.int64(37810), np.int64(64888), np.int64(2616), np.int64(54788), np.int64(47023), np.int64(68666), np.int64(127794), np.int64(110805), np.int64(16568), np.int64(14280), np.int64(6392), np.int64(100321), np.int64(9707), np.int64(126428), np.int64(119263), np.int64(81526), np.int64(86622), np.int64(16010), np.int64(11194), np.int64(99253), np.int64(5327), np.int64(79006), np.int64(109981), np.int64(125962), np.int64(85613), np.int64(91568), np.int64(45879), np.int64(101079), np.int64(90445), np.int64(94644), np.int64(28384), np.int64(113997), np.int64(41236), np.int64(109191), np.int64(51489), np.int64(66237), np.int64(60944), np.int64(58892), np.int64(63480), np.int64(99086), np.int64(2238), np.int64(124217), np.int64(114724), np.int64(88476), np.int64(104062), np.int64(84058), np.int64(51278), np.int64(51365), np.int64(55047), np.int64(62553), np.int64(90068), np.int64(30310), np.int64(29309), np.int64(7744), np.int64(68951), np.int64(40990), np.int64(95713), np.int64(39394), np.int64(18460), np.int64(35338)]",deepseek-coder-v2:16b,100,,
bigraph,"[125962 116255  68666  90445 122482  86254  95713  20475  37810  80574
  92050  82375  45879  94644  84058  66237 126428  47138  79006  47023
 119263  62579  67958  11429  36775  14792  63480 128990  11194  18460
 131213  88476 120722 104062  24171   9707  55226 113997  80050  96107
  86622  40990  68951 122950 125551   6392  22522  51365  51489  62553
  27444  85613 127794   2616  91182  44547   9156 101079 100321  51278
   5327  41236  90068 109191  81526  49883  66671  99253  70633  16010
  39394  28384  82846  35338  14280   2238  54788  14750  99086  30310
  29511   7744  29309  16568  11284 124217 129174 109981 100947 114724
 122239  91568  58892  55047  64888  44459   2073 112735 110805  60944]","[np.int64(92050), np.int64(64888), np.int64(28384), np.int64(29511), np.int64(68951), np.int64(47138), np.int64(9707), np.int64(27444), np.int64(86622), np.int64(128990), np.int64(66671), np.int64(67958), np.int64(129174), np.int64(30310), np.int64(58892), np.int64(41236), np.int64(44459), np.int64(95713), np.int64(80050), np.int64(40990), np.int64(6392), np.int64(68666), np.int64(45879), np.int64(47023), np.int64(24171), np.int64(29309), np.int64(11284), np.int64(36775), np.int64(85613), np.int64(96107), np.int64(88476), np.int64(80574), np.int64(39394), np.int64(84058), np.int64(125962), np.int64(49883), np.int64(86254), np.int64(16010), np.int64(125551), np.int64(99253), np.int64(114724), np.int64(51489), np.int64(9156), np.int64(66237), np.int64(99086), np.int64(54788), np.int64(2073), np.int64(126428), np.int64(55047), np.int64(79006), np.int64(90445), np.int64(2238), np.int64(18460), np.int64(91182), np.int64(109981), np.int64(131213), np.int64(127794), np.int64(62579), np.int64(119263), np.int64(37810), np.int64(112735), np.int64(116255), np.int64(122950), np.int64(44547), np.int64(5327), np.int64(113997), np.int64(11194), np.int64(109191), np.int64(100947), np.int64(14792), np.int64(14750), np.int64(35338), np.int64(82846), np.int64(100321), np.int64(120722), np.int64(60944), np.int64(55226), np.int64(94644), np.int64(81526), np.int64(91568), np.int64(110805), np.int64(90068), np.int64(122482), np.int64(20475), np.int64(62553), np.int64(63480), np.int64(82375), np.int64(14280), np.int64(122239), np.int64(2616), np.int64(101079), np.int64(51365), np.int64(124217), np.int64(104062), np.int64(16568), np.int64(11429), np.int64(22522), np.int64(51278), np.int64(70633), np.int64(7744)]",deepseek-coder-v2:16b,100,,
random,"[116661 128998 113932  26434  97435  36701  91177  75657  45389 122230
  79113   5358 128899  21435  16026  32042  57846 124027 117547  89489
   9985  55352  86312 111742  40077 125593  30467  64885  46831 123329
   1977  58084  49931  45457  66913  18960  52617   7426 132172 100809
  13703  45642 101872  48090  87112 113842 103711 118677  35536  98232
  19608  40100 127081 108589 107862  63530 103217  69863 100817  90200
 116371 122092  36210  92529  22384 124334  56603  26636 110058  50368
  90295 115634  80532  92662  98736   9861 113190 102816  46550   4796
 131071  24786  72991  45488  85813 120027  59422   2763  26532  44187
  83065 109903  34272  60400 113764  84559  73806  43935 110002  98394]","[116661 128998 113932  26434  97435  36701  91177  75657  45389 122230
  79113   5358 128899  21435  16026  32042  57846 124027 117547  89489
   9985  55352  86312 111742  40077 125593  30467  64885  46831 123329
   1977  58084  49931  45457  66913  18960  52617   7426 132172 100809
  13703  45642 101872  48090  87112 113842 103711 118677  35536  98232
  19608  40100 127081 108589 107862  63530 103217  69863 100817  90200
 116371 122092  36210  92529  22384 124334  56603  26636 110058  50368
  90295 115634  80532  92662  98736   9861 113190 102816  46550   4796
 131071  24786  72991  45488  85813 120027  59422   2763  26532  44187
  83065 109903  34272  60400 113764  84559  73806  43935 110002  98394]",,100,,
opt,"[113932 124027  90295  90200  40077 100809 109903 113842  16026  13703
  26434  91177  72991 100817  24786  92529 128899 113764  98232 131071
  52617 103217   5358  46550 127081   9985  45488  73806  56603 120027
  36701 101872 113190  50368  36210 102816 115634   2763  34272  60400
  35536 118677  57846  64885  79113   9861 122092  97435 128998  45457
  26636  92662  66913 132172  49931 124334  84559   4796  55352  80532
   7426  58084  21435  40100  18960 110058  46831 123329 117547  89489
  85813 108589  30467  75657  63530 111742  19608  48090  45642 110002
  98394  44187  86312  98736  45389 122230  32042 116661  22384 107862
  59422  69863  87112  43935  83065  26532   1977 125593 103711 116371]","[np.int64(26434), np.int64(72991), np.int64(24786), np.int64(73806), np.int64(34272), np.int64(64885), np.int64(26636), np.int64(66913), np.int64(32042), np.int64(69863), np.int64(26532), np.int64(113932), np.int64(124027), np.int64(90295), np.int64(90200), np.int64(40077), np.int64(100809), np.int64(109903), np.int64(113842), np.int64(16026), np.int64(13703), np.int64(91177), np.int64(100817), np.int64(92529), np.int64(128899), np.int64(113764), np.int64(98232), np.int64(131071), np.int64(52617), np.int64(103217), np.int64(5358), np.int64(46550), np.int64(127081), np.int64(9985), np.int64(45488), np.int64(56603), np.int64(120027), np.int64(36701), np.int64(101872), np.int64(113190), np.int64(50368), np.int64(36210), np.int64(102816), np.int64(115634), np.int64(2763), np.int64(60400), np.int64(35536), np.int64(118677), np.int64(57846), np.int64(79113), np.int64(9861), np.int64(122092), np.int64(97435), np.int64(128998), np.int64(45457), np.int64(92662), np.int64(132172), np.int64(49931), np.int64(124334), np.int64(84559), np.int64(4796), np.int64(55352), np.int64(80532), np.int64(7426), np.int64(58084), np.int64(21435), np.int64(40100), np.int64(18960), np.int64(110058), np.int64(46831), np.int64(123329), np.int64(117547), np.int64(89489), np.int64(85813), np.int64(108589), np.int64(30467), np.int64(75657), np.int64(63530), np.int64(111742), np.int64(19608), np.int64(48090), np.int64(45642), np.int64(110002), np.int64(98394), np.int64(44187), np.int64(86312), np.int64(98736), np.int64(45389), np.int64(122230), np.int64(116661), np.int64(22384), np.int64(107862), np.int64(59422), np.int64(87112), np.int64(43935), np.int64(83065), np.int64(1977), np.int64(125593), np.int64(103711), np.int64(116371)]",,100,,
warmup,"[ 64885  79113 124334  35536 124027 107862  85813  16026 103217  36701
  56603 110058 100809 113842 122230 127081 128998  87112  92662  46550
  49931 123329  43935  60400   2763   4796  98736  52617  83065  57846
  45488  90295  72991  90200 113764  36210  32042 108589 113190  98394
  44187 115634  66913  26434  13703 101872 110002   7426 132172 118677
 111742  45389  22384  80532  55352 116661  89489  26532 128899  97435
 131071   9861 120027 117547  92529 102816  45642  34272  26636  73806
  45457  18960  30467   1977  91177  69863  59422  86312  84559  58084
  24786  19608 125593 100817 113932  63530 122092  46831  40077  50368
 103711  75657  21435   9985  40100  98232  48090   5358 109903 116371]","[np.int64(107862), np.int64(115634), np.int64(66913), np.int64(26434), np.int64(26532), np.int64(26532), np.int64(102816), np.int64(45642), np.int64(34272), np.int64(73806), np.int64(45457), np.int64(24786), np.int64(64885), np.int64(79113), np.int64(124334), np.int64(35536), np.int64(124027), np.int64(85813), np.int64(16026), np.int64(103217), np.int64(36701), np.int64(56603), np.int64(110058), np.int64(100809), np.int64(113842), np.int64(122230), np.int64(127081), np.int64(128998), np.int64(87112), np.int64(92662), np.int64(46550), np.int64(49931), np.int64(123329), np.int64(43935), np.int64(60400), np.int64(2763), np.int64(4796), np.int64(98736), np.int64(52617), np.int64(83065), np.int64(57846), np.int64(45488), np.int64(90295), np.int64(72991), np.int64(90200), np.int64(113764), np.int64(36210), np.int64(32042), np.int64(108589), np.int64(113190), np.int64(98394), np.int64(44187), np.int64(13703), np.int64(101872), np.int64(110002), np.int64(7426), np.int64(132172), np.int64(118677), np.int64(111742), np.int64(45389), np.int64(22384), np.int64(80532), np.int64(55352), np.int64(116661), np.int64(89489), np.int64(128899), np.int64(97435), np.int64(131071), np.int64(9861), np.int64(120027), np.int64(117547), np.int64(92529), np.int64(26636), np.int64(18960), np.int64(30467), np.int64(1977), np.int64(91177), np.int64(69863), np.int64(59422), np.int64(86312), np.int64(84559), np.int64(58084), np.int64(19608), np.int64(125593), np.int64(100817), np.int64(113932), np.int64(63530), np.int64(122092), np.int64(46831), np.int64(40077), np.int64(50368), np.int64(103711), np.int64(75657), np.int64(21435), np.int64(9985), np.int64(40100), np.int64(98232), np.int64(48090), np.int64(5358), np.int64(109903)]",deepseek-coder-v2:16b,100,,
bigraph,"[113764  45457 127081  83065  26636   1977  49931  98232  46831  45642
  84559  72991  92662  19608 131071  80532   9985  32042  26532  73806
  87112  22384  90295 100817  79113  34272  56603  36701  43935 122092
  46550   5358  60400  57846  98736   9861  97435  26434 123329  16026
  59422 128998  21435  36210 107862  24786  63530  98394  58084 124027
  66913 125593 111742 118677  55352  45389 120027  45488   2763  91177
  89489  92529 102816 117547  75657   7426  40100 110058 103711  18960
 100809 101872  44187  86312  69863  13703 116661  40077 128899  90200
 115634 132172  48090 109903  64885  35536 113190  85813   4796  30467
 103217 110002  52617 113842 124334 122230 113932  50368 108589 116371]","[np.int64(26532), np.int64(72991), np.int64(44187), np.int64(98232), np.int64(45389), np.int64(50368), np.int64(36701), np.int64(40100), np.int64(84559), np.int64(80532), np.int64(35536), np.int64(32042), np.int64(43935), np.int64(34272), np.int64(118677), np.int64(124027), np.int64(69863), np.int64(103711), np.int64(24786), np.int64(64885), np.int64(128998), np.int64(98394), np.int64(92529), np.int64(132172), np.int64(26434), np.int64(113190), np.int64(110002), np.int64(116371), np.int64(59422), np.int64(46550), np.int64(45457), np.int64(66913), np.int64(110058), np.int64(122230), np.int64(98736), np.int64(9985), np.int64(127081), np.int64(1977), np.int64(79113), np.int64(7426), np.int64(46831), np.int64(26636), np.int64(60400), np.int64(13703), np.int64(92662), np.int64(21435), np.int64(100817), np.int64(57846), np.int64(109903), np.int64(113842), np.int64(122092), np.int64(22384), np.int64(36210), np.int64(63530), np.int64(45488), np.int64(83065), np.int64(58084), np.int64(90295), np.int64(102816), np.int64(19608), np.int64(73806), np.int64(120027), np.int64(113764), np.int64(55352), np.int64(40077), np.int64(49931), np.int64(91177), np.int64(113932), np.int64(5358), np.int64(97435), np.int64(4796), np.int64(86312), np.int64(89489), np.int64(115634), np.int64(108589), np.int64(45642), np.int64(9861), np.int64(123329), np.int64(30467), np.int64(56603), np.int64(117547), np.int64(128899), np.int64(111742), np.int64(107862), np.int64(18960), np.int64(125593), np.int64(124334), np.int64(90200), np.int64(100809), np.int64(101872), np.int64(16026), np.int64(48090), np.int64(131071), np.int64(75657), np.int64(52617), np.int64(103217), np.int64(87112), np.int64(2763), np.int64(116661), np.int64(85813)]",deepseek-coder-v2:16b,100,,
random,"[118165  99518 116411 123782  54940  65010 106094 108344  82635  37289
  21605  63297  36109  84260  33079  49791  11810  12200 100652   9600
   2951  20409  79966  34452 129213  98915  15163  42926  20526  29734
  53022  64032  53763  74479 127347  49688 123242  44105  60548  70819
  86107  94684   1007  88809  89374 123792  72231  18996  24039   4982
  52717 127625  13662 105698  94034 102671 113780   1320  34718  74241
 100573  39306 110399 105254  59839  20463 103690 116314  71368  40979
  26892 128748  18651  96962 119199   9331  22469  89483 117190  44841
 101288  88601  29535 114397   5342  97911  14972  22334  88975 125311
 121739  34856  32493  63495 110883  29716  62479 108891   5256  54376]","[118165  99518 116411 123782  54940  65010 106094 108344  82635  37289
  21605  63297  36109  84260  33079  49791  11810  12200 100652   9600
   2951  20409  79966  34452 129213  98915  15163  42926  20526  29734
  53022  64032  53763  74479 127347  49688 123242  44105  60548  70819
  86107  94684   1007  88809  89374 123792  72231  18996  24039   4982
  52717 127625  13662 105698  94034 102671 113780   1320  34718  74241
 100573  39306 110399 105254  59839  20463 103690 116314  71368  40979
  26892 128748  18651  96962 119199   9331  22469  89483 117190  44841
 101288  88601  29535 114397   5342  97911  14972  22334  88975 125311
 121739  34856  32493  63495 110883  29716  62479 108891   5256  54376]",,100,,
opt,"[  1320  29716  53022 110399  12200  20463 118165 123782 129213 103690
 117190  44841  88975  96962  88809   5256  37289 116314  94034  49688
 123792 100573  88601  29734  54940  33079  74479  21605   2951  97911
  34718 101288  44105  60548  54376  89374  26892 116411  74241  63297
  14972  22469 127625   9331  89483  59839  99518  18651  94684 110883
 108344  64032 121739  34452 119199 108891 102671  52717  86107 106094
 100652   4982  42926  40979  62479   1007  18996  29535  79966 105254
  70819  63495 125311  32493  34856  20526  82635  24039  98915  13662
   9600 113780  15163  39306 128748 114397  36109  65010  72231  84260
 127347  22334  20409  11810   5342 123242  49791 105698  71368  53763]","[np.int64(29716), np.int64(29734), np.int64(33079), np.int64(74479), np.int64(26892), np.int64(74241), np.int64(64032), np.int64(34452), np.int64(29535), np.int64(70819), np.int64(32493), np.int64(24039), np.int64(65010), np.int64(72231), np.int64(71368), np.int64(1320), np.int64(53022), np.int64(110399), np.int64(12200), np.int64(20463), np.int64(118165), np.int64(123782), np.int64(129213), np.int64(103690), np.int64(117190), np.int64(44841), np.int64(88975), np.int64(96962), np.int64(88809), np.int64(5256), np.int64(37289), np.int64(116314), np.int64(94034), np.int64(49688), np.int64(123792), np.int64(100573), np.int64(88601), np.int64(54940), np.int64(21605), np.int64(2951), np.int64(97911), np.int64(34718), np.int64(101288), np.int64(44105), np.int64(60548), np.int64(54376), np.int64(89374), np.int64(116411), np.int64(63297), np.int64(14972), np.int64(22469), np.int64(127625), np.int64(9331), np.int64(89483), np.int64(59839), np.int64(99518), np.int64(18651), np.int64(94684), np.int64(110883), np.int64(108344), np.int64(121739), np.int64(119199), np.int64(108891), np.int64(102671), np.int64(52717), np.int64(86107), np.int64(106094), np.int64(100652), np.int64(4982), np.int64(42926), np.int64(40979), np.int64(62479), np.int64(1007), np.int64(18996), np.int64(79966), np.int64(105254), np.int64(63495), np.int64(125311), np.int64(34856), np.int64(20526), np.int64(82635), np.int64(98915), np.int64(13662), np.int64(9600), np.int64(113780), np.int64(15163), np.int64(39306), np.int64(128748), np.int64(114397), np.int64(36109), np.int64(84260), np.int64(127347), np.int64(22334), np.int64(20409), np.int64(11810), np.int64(5342), np.int64(123242), np.int64(49791), np.int64(105698), np.int64(53763)]",,100,,
warmup,"[ 39306  32493  63495  74479  22469  18651  18996   1320  20463  59839
 108891  96962   5342   2951  53763  89374 113780 123792  13662  49688
   9600   1007  34856  63297 102671  42926 117190  33079  94684  72231
 103690 118165  34452 123242  37289  71368  99518  52717 108344  14972
  60548  97911 114397  11810 129213 125311 121739  54376  22334  65010
 127625  24039  44105 119199  62479  15163  70819 110399  94034 101288
  26892  79966 106094  20526  29535  20409  44841  64032  21605  88975
  53022  29716 100652  86107  29734  88601 116314 116411  88809  12200
 100573   9331  36109 110883   5256  40979  98915  84260 123782 105254
  89483  49791 127347  74241   4982  54940  34718 128748 105698  82635]","[np.int64(44841), np.int64(64032), np.int64(44841), np.int64(64032), np.int64(53022), np.int64(29716), np.int64(86107), np.int64(86107), np.int64(39306), np.int64(32493), np.int64(63495), np.int64(74479), np.int64(22469), np.int64(18651), np.int64(18996), np.int64(1320), np.int64(20463), np.int64(59839), np.int64(108891), np.int64(96962), np.int64(5342), np.int64(2951), np.int64(53763), np.int64(89374), np.int64(113780), np.int64(123792), np.int64(13662), np.int64(49688), np.int64(9600), np.int64(1007), np.int64(34856), np.int64(63297), np.int64(102671), np.int64(42926), np.int64(117190), np.int64(33079), np.int64(94684), np.int64(72231), np.int64(103690), np.int64(118165), np.int64(34452), np.int64(123242), np.int64(37289), np.int64(71368), np.int64(99518), np.int64(52717), np.int64(108344), np.int64(14972), np.int64(60548), np.int64(97911), np.int64(114397), np.int64(11810), np.int64(129213), np.int64(125311), np.int64(121739), np.int64(54376), np.int64(22334), np.int64(65010), np.int64(127625), np.int64(24039), np.int64(44105), np.int64(119199), np.int64(62479), np.int64(15163), np.int64(70819), np.int64(110399), np.int64(94034), np.int64(101288), np.int64(26892), np.int64(79966), np.int64(106094), np.int64(20526), np.int64(29535), np.int64(20409), np.int64(21605), np.int64(88975), np.int64(100652), np.int64(29734), np.int64(88601), np.int64(116314), np.int64(116411), np.int64(88809), np.int64(12200), np.int64(100573), np.int64(9331), np.int64(36109), np.int64(110883), np.int64(5256), np.int64(40979), np.int64(98915), np.int64(84260), np.int64(123782), np.int64(105254), np.int64(89483), np.int64(49791), np.int64(127347), np.int64(74241), np.int64(4982), np.int64(54940), np.int64(34718)]",deepseek-coder-v2:16b,100,,
bigraph,"[ 26892  18651 129213  59839  34856 100652 103690  84260 119199 101288
  22334  24039  88975  65010  18996  71368  62479  60548  86107   2951
 118165  99518  63297 106094   1007 117190 105698 116411  32493   9331
  29535  39306  63495   9600  29716  54940  88809 108891  34452  44841
 123782  11810  64032 113780   5256  74241  89483  37289   4982  14972
  42926  53022 116314   1320  53763  22469  94034  54376  74479 100573
 102671  96962  36109  89374  44105  33079  20463  49791  88601  79966
  20526 128748  52717 110883  15163  98915 125311 121739 123792  97911
 110399  20409  12200  29734 127347  72231 127625  70819  94684 105254
  34718 114397  21605   5342  40979  49688 123242 108344  13662  82635]","[np.int64(29716), np.int64(64032), np.int64(72231), np.int64(9331), np.int64(29535), np.int64(24039), np.int64(100573), np.int64(44841), np.int64(26892), np.int64(74241), np.int64(86107), np.int64(74479), np.int64(1007), np.int64(29734), np.int64(94034), np.int64(34452), np.int64(5256), np.int64(99518), np.int64(127625), np.int64(18651), np.int64(116411), np.int64(129213), np.int64(34856), np.int64(108344), np.int64(53763), np.int64(33079), np.int64(59839), np.int64(9600), np.int64(21605), np.int64(105698), np.int64(40979), np.int64(53022), np.int64(94684), np.int64(82635), np.int64(32493), np.int64(71368), np.int64(36109), np.int64(98915), np.int64(52717), np.int64(44105), np.int64(102671), np.int64(20409), np.int64(15163), np.int64(121739), np.int64(4982), np.int64(70819), np.int64(125311), np.int64(100652), np.int64(2951), np.int64(108891), np.int64(88809), np.int64(5342), np.int64(106094), np.int64(63297), np.int64(42926), np.int64(79966), np.int64(101288), np.int64(128748), np.int64(39306), np.int64(113780), np.int64(110883), np.int64(116314), np.int64(114397), np.int64(84260), np.int64(63495), np.int64(18996), np.int64(1320), np.int64(54376), np.int64(110399), np.int64(123792), np.int64(20526), np.int64(65010), np.int64(123242), np.int64(62479), np.int64(12200), np.int64(119199), np.int64(13662), np.int64(123782), np.int64(49688), np.int64(37289), np.int64(96962), np.int64(97911), np.int64(20463), np.int64(117190), np.int64(49791), np.int64(60548), np.int64(103690), np.int64(14972), np.int64(88975), np.int64(127347), np.int64(89374), np.int64(89483), np.int64(105254), np.int64(22469), np.int64(11810), np.int64(22334), np.int64(54940), np.int64(118165), np.int64(88601), np.int64(34718)]",deepseek-coder-v2:16b,100,,
random,"[ 94934 123346 116016  84910  85539  51100  13490  15858 126206  65684
 123643  62265  98912  86760  23643  44066   3708  84816  56237 124366
  64112 120836  22180  92328  68662  98702 119246  45418 105834 127031
  89178 114383  54113  82018 115712  91772  81159  49664  32727   6084
  19042  17474 113211  37494 124088  72356  91313  15179 103104 108944
  42291     35  43770  87574 114438  48576  28380  46433  90233   6916
  15065  66929  19422  77091  11591 107078 106480 102429  48847 106783
 123030 112406 108803  65268 117453   5614  94400  99105 123520 101168
 123386  82066 116782  36664  26084 129356 113294  77007  65814 127466
   5036  84056  69180  39904   1858   5818  40962  25669  13816  91356]","[ 94934 123346 116016  84910  85539  51100  13490  15858 126206  65684
 123643  62265  98912  86760  23643  44066   3708  84816  56237 124366
  64112 120836  22180  92328  68662  98702 119246  45418 105834 127031
  89178 114383  54113  82018 115712  91772  81159  49664  32727   6084
  19042  17474 113211  37494 124088  72356  91313  15179 103104 108944
  42291     35  43770  87574 114438  48576  28380  46433  90233   6916
  15065  66929  19422  77091  11591 107078 106480 102429  48847 106783
 123030 112406 108803  65268 117453   5614  94400  99105 123520 101168
 123386  82066 116782  36664  26084 129356 113294  77007  65814 127466
   5036  84056  69180  39904   1858   5818  40962  25669  13816  91356]",,100,,
opt,"[ 91356  82066  91772 129356  65814 120836  84056  56237     35 114383
 108803  62265 119246  37494  54113  15179 106783 124366  65684  77007
  44066  48847 106480  36664   6084  32727  87574  69180 103104  99105
  13816  15065 123030   5818   3708  92328 127466  66929  84910  72356
 116782  89178  94934 123346  65268  49664  48576  91313  84816  81159
  82018  94400 101168  19422  45418  26084  77091  39904  25669   5614
  19042   1858 114438   5036   6916  68662 123386 112406  22180 105834
 102429 108944 113211  43770  90233 113294  98702  40962  17474  11591
  23643 115712 123520 124088  28380 107078 126206 116016  85539  98912
  13490  64112  15858 127031 117453 123643  46433  51100  86760  42291]","[np.int64(65814), np.int64(65684), np.int64(32727), np.int64(69180), np.int64(66929), np.int64(72356), np.int64(65268), np.int64(26084), np.int64(25669), np.int64(68662), np.int64(28380), np.int64(64112), np.int64(91356), np.int64(82066), np.int64(91772), np.int64(129356), np.int64(120836), np.int64(84056), np.int64(56237), np.int64(35), np.int64(114383), np.int64(108803), np.int64(62265), np.int64(119246), np.int64(37494), np.int64(54113), np.int64(15179), np.int64(106783), np.int64(124366), np.int64(77007), np.int64(44066), np.int64(48847), np.int64(106480), np.int64(36664), np.int64(6084), np.int64(87574), np.int64(103104), np.int64(99105), np.int64(13816), np.int64(15065), np.int64(123030), np.int64(5818), np.int64(3708), np.int64(92328), np.int64(127466), np.int64(84910), np.int64(116782), np.int64(89178), np.int64(94934), np.int64(123346), np.int64(49664), np.int64(48576), np.int64(91313), np.int64(84816), np.int64(81159), np.int64(82018), np.int64(94400), np.int64(101168), np.int64(19422), np.int64(45418), np.int64(77091), np.int64(39904), np.int64(5614), np.int64(19042), np.int64(1858), np.int64(114438), np.int64(5036), np.int64(6916), np.int64(123386), np.int64(112406), np.int64(22180), np.int64(105834), np.int64(102429), np.int64(108944), np.int64(113211), np.int64(43770), np.int64(90233), np.int64(113294), np.int64(98702), np.int64(40962), np.int64(17474), np.int64(11591), np.int64(23643), np.int64(115712), np.int64(123520), np.int64(124088), np.int64(107078), np.int64(126206), np.int64(116016), np.int64(85539), np.int64(98912), np.int64(13490), np.int64(15858), np.int64(127031), np.int64(117453), np.int64(123643), np.int64(46433), np.int64(51100), np.int64(86760), np.int64(42291)]",,100,,
warmup,"[ 54113  65684  65814  48576 123520  85539 120836 124088  19042  22180
  82066 102429  66929  68662  15065  15179  99105  87574 103104  28380
 127466 115712  90233  84910  94400 108944 129356  37494  98912 123030
 123386 114383   5818   5614 126206  91772   5036   1858  39904 116016
 124366  91356  77007 101168  98702 105834  36664  81159 113294  49664
 123346 116782  42291  13816  25669  44066  56237 107078  64112 123643
  17474  32727  19422  51100  40962 106783 117453  91313 119246   3708
 112406  43770  26084 106480  84056  13490   6084 114438  46433 108803
  77091  69180   6916  92328  48847  45418  84816  65268  62265  11591
  94934  72356     35 113211  23643  82018 127031  86760  89178  15858]","[np.int64(54113), np.int64(65814), np.int64(22180), np.int64(82066), np.int64(102429), np.int64(113294), np.int64(43770), np.int64(106480), np.int64(26084), np.int64(106480), np.int64(127031), np.int64(89178), np.int64(15858), np.int64(65684), np.int64(48576), np.int64(123520), np.int64(85539), np.int64(120836), np.int64(124088), np.int64(19042), np.int64(66929), np.int64(68662), np.int64(15065), np.int64(15179), np.int64(99105), np.int64(87574), np.int64(103104), np.int64(28380), np.int64(127466), np.int64(115712), np.int64(90233), np.int64(84910), np.int64(94400), np.int64(108944), np.int64(129356), np.int64(37494), np.int64(98912), np.int64(123030), np.int64(123386), np.int64(114383), np.int64(5818), np.int64(5614), np.int64(126206), np.int64(91772), np.int64(5036), np.int64(1858), np.int64(39904), np.int64(116016), np.int64(124366), np.int64(91356), np.int64(77007), np.int64(101168), np.int64(98702), np.int64(105834), np.int64(36664), np.int64(81159), np.int64(49664), np.int64(123346), np.int64(116782), np.int64(42291), np.int64(13816), np.int64(25669), np.int64(44066), np.int64(56237), np.int64(107078), np.int64(64112), np.int64(123643), np.int64(17474), np.int64(32727), np.int64(19422), np.int64(51100), np.int64(40962), np.int64(106783), np.int64(117453), np.int64(91313), np.int64(119246), np.int64(3708), np.int64(112406), np.int64(84056), np.int64(13490), np.int64(6084), np.int64(114438), np.int64(46433), np.int64(108803), np.int64(77091), np.int64(69180), np.int64(6916), np.int64(92328), np.int64(48847), np.int64(45418), np.int64(84816), np.int64(65268), np.int64(62265), np.int64(11591), np.int64(94934), np.int64(72356), np.int64(35), np.int64(113211), np.int64(23643), np.int64(82018)]",deepseek-coder-v2:16b,100,,
