algorithm,original,reordered,model,size,column,value
warmup,"[ 90523  29005 115282  34564 128595 127220 106079 112277 126571  68840
  38522 122295  18420  47564 112696  30094 131728 130945 100515   4438
  56195 111460 102042  27170  14058  43333  84456  77747  99206  99749
   5473  82033  20546  72983  43852 131397  22675  46667  58769  28762
   2241 118510  19453  26513  47976  91082 115696   9491  13275  47758
  37212  87102 113435  51135 124364  35838 120807  35608  61737  22964
  67279  55263  44179   7206  20911 113605  12291  45541  54922   6823
 100405  90956  93722  77299  87729  91813  96465  35624 130850  69835
  63838  43737  42322  93234  85424  13166 120811 100518  89720 106866
 113137 113736  62839 117794   1754 118861  29798  71884  37385    273]","[np.int64(126571), np.int64(68840), np.int64(38522), np.int64(122295), np.int64(28762), np.int64(26513), np.int64(67279), np.int64(20911), np.int64(113605), np.int64(12291), np.int64(45541), np.int64(69835), np.int64(63838), np.int64(29798), np.int64(71884), np.int64(90523), np.int64(29005), np.int64(115282), np.int64(34564), np.int64(128595), np.int64(127220), np.int64(106079), np.int64(112277), np.int64(18420), np.int64(47564), np.int64(112696), np.int64(30094), np.int64(131728), np.int64(130945), np.int64(100515), np.int64(4438), np.int64(56195), np.int64(111460), np.int64(102042), np.int64(27170), np.int64(14058), np.int64(43333), np.int64(84456), np.int64(77747), np.int64(99206), np.int64(99749), np.int64(5473), np.int64(82033), np.int64(20546), np.int64(72983), np.int64(43852), np.int64(131397), np.int64(22675), np.int64(46667), np.int64(58769), np.int64(2241), np.int64(118510), np.int64(19453), np.int64(47976), np.int64(91082), np.int64(115696), np.int64(9491), np.int64(13275), np.int64(47758), np.int64(37212), np.int64(87102), np.int64(113435), np.int64(51135), np.int64(124364), np.int64(35838), np.int64(120807), np.int64(35608), np.int64(61737), np.int64(22964), np.int64(55263), np.int64(44179), np.int64(7206), np.int64(54922), np.int64(6823), np.int64(100405), np.int64(90956), np.int64(93722), np.int64(77299), np.int64(87729), np.int64(91813), np.int64(96465), np.int64(35624), np.int64(130850), np.int64(43737), np.int64(42322), np.int64(93234), np.int64(85424), np.int64(13166), np.int64(120811), np.int64(100518), np.int64(89720), np.int64(106866), np.int64(113137), np.int64(113736), np.int64(62839), np.int64(117794), np.int64(1754), np.int64(118861), np.int64(37385), np.int64(273)]",mistral:7b,100,,
bigraph,"[ 89720 113435 124364   7206  51135   2241 131728   5473  77747  42322
  56195  46667  30094  71884 100405 113605  35608  91082  69835 100518
 131397 111460  43737  38522  99749 112696 106079 130850 130945   1754
  58769  90523  90956  35624 117794 115282  96465  19453   9491  14058
  28762  47758  44179  61737  20911  87102  67279  29005  43333 102042
 113736  22675  91813  47564 100515 118510  43852  13275   6823  62839
   4438 115696  47976  77299  35838 126571 112277  13166 120811  63838
 120807    273  37212  26513  18420 113137  27170 106866  22964  37385
 127220  72983 122295  85424  12291  84456  99206  93234  87729 118861
  68840  82033  93722  29798 128595  45541  34564  55263  54922  20546]","[np.int64(2241), np.int64(122295), np.int64(29005), np.int64(29798), np.int64(131397), np.int64(127220), np.int64(55263), np.int64(102042), np.int64(63838), np.int64(71884), np.int64(9491), np.int64(117794), np.int64(19453), np.int64(47758), np.int64(126571), np.int64(26513), np.int64(99206), np.int64(113605), np.int64(30094), np.int64(34564), np.int64(58769), np.int64(14058), np.int64(115282), np.int64(35608), np.int64(27170), np.int64(112277), np.int64(18420), np.int64(68840), np.int64(43852), np.int64(118510), np.int64(67279), np.int64(91082), np.int64(5473), np.int64(90956), np.int64(100518), np.int64(43737), np.int64(100405), np.int64(35838), np.int64(273), np.int64(72983), np.int64(130850), np.int64(118861), np.int64(69835), np.int64(47564), np.int64(106079), np.int64(45541), np.int64(87102), np.int64(37385), np.int64(22675), np.int64(128595), np.int64(56195), np.int64(90523), np.int64(28762), np.int64(42322), np.int64(115696), np.int64(96465), np.int64(84456), np.int64(13275), np.int64(89720), np.int64(113435), np.int64(124364), np.int64(7206), np.int64(51135), np.int64(131728), np.int64(77747), np.int64(46667), np.int64(111460), np.int64(38522), np.int64(99749), np.int64(112696), np.int64(130945), np.int64(1754), np.int64(35624), np.int64(44179), np.int64(61737), np.int64(20911), np.int64(43333), np.int64(113736), np.int64(91813), np.int64(100515), np.int64(6823), np.int64(62839), np.int64(4438), np.int64(47976), np.int64(77299), np.int64(13166), np.int64(120811), np.int64(120807), np.int64(37212), np.int64(113137), np.int64(106866), np.int64(22964), np.int64(85424), np.int64(12291), np.int64(93234), np.int64(87729), np.int64(82033), np.int64(93722), np.int64(54922), np.int64(20546)]",mistral:7b,100,,
random,"[ 10786  59728 116437 103306 132343  64010  27716  26123 128195  37601
  23937  48021  57872  24615 126686  12463  41986  62025 131212  95161
  60012 123098  17302  49168  42644 124154  94758  30481  76977  37105
  19150  31968 124017  88542  25185  35017  94799  58567  74616  89287
  57773 130255   2008  72774   5975 129023  31096  23529  95591 129335
 130891  62275 105576  82121  82924 117577 111815  37035  17075  61259
  55080  41958  72346  73845 100141 115202  57222  70050 130952 114252
  27263  49604  30640   6519  55663  54537  21526  73809 115089 119107
 106417 115058  70173  86135   3905  88509   2457 100731  76045  86301
  64974  56565   1347  16991  50737 129391  59695 106336 122736 129760]","[ 10786  59728 116437 103306 132343  64010  27716  26123 128195  37601
  23937  48021  57872  24615 126686  12463  41986  62025 131212  95161
  60012 123098  17302  49168  42644 124154  94758  30481  76977  37105
  19150  31968 124017  88542  25185  35017  94799  58567  74616  89287
  57773 130255   2008  72774   5975 129023  31096  23529  95591 129335
 130891  62275 105576  82121  82924 117577 111815  37035  17075  61259
  55080  41958  72346  73845 100141 115202  57222  70050 130952 114252
  27263  49604  30640   6519  55663  54537  21526  73809 115089 119107
 106417 115058  70173  86135   3905  88509   2457 100731  76045  86301
  64974  56565   1347  16991  50737 129391  59695 106336 122736 129760]",,100,,
opt,"[ 64010   1347  82924 129391 124017  17302  30481 106336  72774  60012
  31096 130952   2008  55663 117577  88542  54537  35017  86301  86135
  73845  82121  10786  48021  55080 100731 115202 123098  56565 105576
  59695 132343 129335 126686  27716  61259 122736 103306 129023  76045
  88509  59728 129760  62275 119107  37601  12463  95161  76977  94758
  19150 111815 130891  95591  62025  23937 106417  50737  30640  21526
  17075  70173  27263 124154  24615 130255  41958  37035  72346  58567
  31968   3905  73809 116437 114252  57222  25185  49168  23529  49604
  42644  37105  94799 100141  89287  26123  57773 131212  57872  41986
 115058 115089 128195  16991  70050   6519  74616   2457   5975  64974]","[np.int64(64010), np.int64(72774), np.int64(31096), np.int64(73845), np.int64(27716), np.int64(23937), np.int64(70173), np.int64(27263), np.int64(24615), np.int64(72346), np.int64(31968), np.int64(73809), np.int64(25185), np.int64(26123), np.int64(70050), np.int64(74616), np.int64(64974), np.int64(1347), np.int64(82924), np.int64(129391), np.int64(124017), np.int64(17302), np.int64(30481), np.int64(106336), np.int64(60012), np.int64(130952), np.int64(2008), np.int64(55663), np.int64(117577), np.int64(88542), np.int64(54537), np.int64(35017), np.int64(86301), np.int64(86135), np.int64(82121), np.int64(10786), np.int64(48021), np.int64(55080), np.int64(100731), np.int64(115202), np.int64(123098), np.int64(56565), np.int64(105576), np.int64(59695), np.int64(132343), np.int64(129335), np.int64(126686), np.int64(61259), np.int64(122736), np.int64(103306), np.int64(129023), np.int64(76045), np.int64(88509), np.int64(59728), np.int64(129760), np.int64(62275), np.int64(119107), np.int64(37601), np.int64(12463), np.int64(95161), np.int64(76977), np.int64(94758), np.int64(19150), np.int64(111815), np.int64(130891), np.int64(95591), np.int64(62025), np.int64(106417), np.int64(50737), np.int64(30640), np.int64(21526), np.int64(17075), np.int64(124154), np.int64(130255), np.int64(41958), np.int64(37035), np.int64(58567), np.int64(3905), np.int64(116437), np.int64(114252), np.int64(57222), np.int64(49168), np.int64(23529), np.int64(49604), np.int64(42644), np.int64(37105), np.int64(94799), np.int64(100141), np.int64(89287), np.int64(57773), np.int64(131212), np.int64(57872), np.int64(41986), np.int64(115058), np.int64(115089), np.int64(128195), np.int64(16991), np.int64(6519), np.int64(2457), np.int64(5975)]",,100,,
warmup,"[ 54537  70173  37601  76045 132343  24615  26123  17302 128195 111815
  19150  82121  70050  49168 119107  88542  17075  31096  73845 115089
  41986 123098  95591   1347  57222  94758  30481   6519  64974  30640
  64010  27716  86135 106417  50737 124017  27263  95161  16991 129391
 129760  42644  73809  37105  74616 122736  61259 103306  48021  60012
 129335  55663  10786 130255 115058  49604  89287  88509  21526  59728
  94799  55080  25185  59695  31968  57872 105576 116437  12463 130952
  62025  41958 130891 129023  57773  76977   3905  37035 115202 100141
 117577  82924   2008  35017  86301  72346 114252   5975  23937  23529
  72774  62275  56565 100731 106336   2457 126686 131212 124154  58567]","[np.int64(24615), np.int64(26123), np.int64(17302), np.int64(128195), np.int64(111815), np.int64(19150), np.int64(82121), np.int64(70050), np.int64(64974), np.int64(30640), np.int64(64010), np.int64(27716), np.int64(27263), np.int64(23937), np.int64(54537), np.int64(70173), np.int64(37601), np.int64(76045), np.int64(132343), np.int64(49168), np.int64(119107), np.int64(88542), np.int64(17075), np.int64(31096), np.int64(73845), np.int64(115089), np.int64(41986), np.int64(123098), np.int64(95591), np.int64(1347), np.int64(57222), np.int64(94758), np.int64(30481), np.int64(6519), np.int64(86135), np.int64(106417), np.int64(50737), np.int64(124017), np.int64(95161), np.int64(16991), np.int64(129391), np.int64(129760), np.int64(42644), np.int64(73809), np.int64(37105), np.int64(74616), np.int64(122736), np.int64(61259), np.int64(103306), np.int64(48021), np.int64(60012), np.int64(129335), np.int64(55663), np.int64(10786), np.int64(130255), np.int64(115058), np.int64(49604), np.int64(89287), np.int64(88509), np.int64(21526), np.int64(59728), np.int64(94799), np.int64(55080), np.int64(25185), np.int64(59695), np.int64(31968), np.int64(57872), np.int64(105576), np.int64(116437), np.int64(12463), np.int64(130952), np.int64(62025), np.int64(41958), np.int64(130891), np.int64(129023), np.int64(57773), np.int64(76977), np.int64(3905), np.int64(37035), np.int64(115202), np.int64(100141), np.int64(117577), np.int64(82924), np.int64(2008), np.int64(35017), np.int64(86301), np.int64(72346), np.int64(114252), np.int64(5975), np.int64(23529), np.int64(72774), np.int64(62275), np.int64(56565), np.int64(100731), np.int64(106336), np.int64(2457), np.int64(126686), np.int64(131212), np.int64(124154), np.int64(58567)]",mistral:7b,100,,
bigraph,"[ 73845  86135  61259 115089  59728 117577  42644  49604  95161 128195
  24615 100731  76977 130255  30640 129391 132343  82121  41986  88509
  89287  19150  30481  50737  41958 122736 106417   2008  64010  26123
  94758 131212  54537 126686 130891  48021 115058  55663 129760  16991
   3905 124017  70050 129023   5975  17075 103306  49168 106336  27263
  76045 114252 100141   2457  58567  23937  23529  37601  70173  86301
 124154  74616  25185  82924   1347  64974 115202  56565  10786  37105
  95591  27716 129335 130952  21526  31096  55080  12463 116437  57773
  62275  72346  94799   6519 111815  59695  57222 123098 105576  62025
  17302  57872  72774  31968  37035  88542  35017  60012  73809 119107]","[np.int64(86135), np.int64(48021), np.int64(27263), np.int64(30481), np.int64(117577), np.int64(5975), np.int64(82924), np.int64(95161), np.int64(129023), np.int64(86301), np.int64(35017), np.int64(24615), np.int64(64010), np.int64(76045), np.int64(41958), np.int64(25185), np.int64(122736), np.int64(100141), np.int64(88542), np.int64(64974), np.int64(76977), np.int64(37105), np.int64(26123), np.int64(21526), np.int64(72346), np.int64(132343), np.int64(23937), np.int64(59728), np.int64(73845), np.int64(59695), np.int64(57222), np.int64(115058), np.int64(130255), np.int64(41986), np.int64(23529), np.int64(129391), np.int64(12463), np.int64(31096), np.int64(94758), np.int64(2457), np.int64(131212), np.int64(94799), np.int64(50737), np.int64(55663), np.int64(70173), np.int64(49168), np.int64(119107), np.int64(61259), np.int64(74616), np.int64(124154), np.int64(60012), np.int64(73809), np.int64(126686), np.int64(106336), np.int64(128195), np.int64(100731), np.int64(82121), np.int64(116437), np.int64(27716), np.int64(1347), np.int64(105576), np.int64(106417), np.int64(129335), np.int64(115089), np.int64(42644), np.int64(49604), np.int64(30640), np.int64(88509), np.int64(89287), np.int64(19150), np.int64(2008), np.int64(54537), np.int64(130891), np.int64(129760), np.int64(16991), np.int64(3905), np.int64(124017), np.int64(70050), np.int64(17075), np.int64(103306), np.int64(114252), np.int64(58567), np.int64(37601), np.int64(115202), np.int64(56565), np.int64(10786), np.int64(95591), np.int64(130952), np.int64(55080), np.int64(57773), np.int64(62275), np.int64(6519), np.int64(111815), np.int64(123098), np.int64(62025), np.int64(17302), np.int64(57872), np.int64(72774), np.int64(31968), np.int64(37035)]",mistral:7b,100,,
random,"[ 76297 120408  11489  32603  64933 111984  12560  44695  76141 124152
  73696  39729  28164  48283  80329 101961  17757  24352 123679  63655
  34604  79595  47438 118535  21527 130552 118559  69752  70009   2339
  90942  55832  52185  70636  85668  39578  16917 101292  91393  68019
  17065  47581  50291  54817  89722  19256  53295  40051  20865  46679
 126844  48353  35511 128004  12648  49367  77852 110241  38728  86578
  15360  50104 113962  67906  57598  80003 113154   5877   9784 130662
 105786 114567  49309  13677 119529  49534  41701  50696  90897  40589
  70442  89937 129090 101154   9191    333 127183  67829  58528  68303
  38142  22835  80056   7425  89055 111077  56938 130254  94599 105738]","[ 76297 120408  11489  32603  64933 111984  12560  44695  76141 124152
  73696  39729  28164  48283  80329 101961  17757  24352 123679  63655
  34604  79595  47438 118535  21527 130552 118559  69752  70009   2339
  90942  55832  52185  70636  85668  39578  16917 101292  91393  68019
  17065  47581  50291  54817  89722  19256  53295  40051  20865  46679
 126844  48353  35511 128004  12648  49367  77852 110241  38728  86578
  15360  50104 113962  67906  57598  80003 113154   5877   9784 130662
 105786 114567  49309  13677 119529  49534  41701  50696  90897  40589
  70442  89937 129090 101154   9191    333 127183  67829  58528  68303
  38142  22835  80056   7425  89055 111077  56938 130254  94599 105738]",,100,,
opt,"[ 11489  47438  89722  44695  49534 128004  70442  17757 101154 120408
  49309 129090 113154  38142 118535  86578  54817  77852 111984 105738
 124152  68303 111077 101292 114567  46679  13677 123679  40051  53295
  48283 110241  24352  49367  70636 119529  67906  68019 130552  39578
  80056  12648  47581  91393  38728 105786  40589  19256 118559  52185
  48353  64933  70009 113962  80003  80329  28164 126844  73696  57598
   9784  41701  76297  12560  56938  32603  17065  94599  90942 127183
  50104    333  67829  63655 101961 130254  58528  76141   9191  22835
  39729   7425  16917 130662  50291   5877  90897   2339  35511  21527
  20865  69752  15360  34604  79595  50696  89055  89937  85668  55832]","[np.int64(70442), np.int64(68303), np.int64(24352), np.int64(67906), np.int64(68019), np.int64(64933), np.int64(70009), np.int64(28164), np.int64(73696), np.int64(32603), np.int64(67829), np.int64(69752), np.int64(34604), np.int64(11489), np.int64(47438), np.int64(89722), np.int64(44695), np.int64(49534), np.int64(128004), np.int64(17757), np.int64(101154), np.int64(120408), np.int64(49309), np.int64(129090), np.int64(113154), np.int64(38142), np.int64(118535), np.int64(86578), np.int64(54817), np.int64(77852), np.int64(111984), np.int64(105738), np.int64(124152), np.int64(111077), np.int64(101292), np.int64(114567), np.int64(46679), np.int64(13677), np.int64(123679), np.int64(40051), np.int64(53295), np.int64(48283), np.int64(110241), np.int64(49367), np.int64(70636), np.int64(119529), np.int64(130552), np.int64(39578), np.int64(80056), np.int64(12648), np.int64(47581), np.int64(91393), np.int64(38728), np.int64(105786), np.int64(40589), np.int64(19256), np.int64(118559), np.int64(52185), np.int64(48353), np.int64(113962), np.int64(80003), np.int64(80329), np.int64(126844), np.int64(57598), np.int64(9784), np.int64(41701), np.int64(76297), np.int64(12560), np.int64(56938), np.int64(17065), np.int64(94599), np.int64(90942), np.int64(127183), np.int64(50104), np.int64(333), np.int64(63655), np.int64(101961), np.int64(130254), np.int64(58528), np.int64(76141), np.int64(9191), np.int64(22835), np.int64(39729), np.int64(7425), np.int64(16917), np.int64(130662), np.int64(50291), np.int64(5877), np.int64(90897), np.int64(2339), np.int64(35511), np.int64(21527), np.int64(20865), np.int64(15360), np.int64(79595), np.int64(50696), np.int64(89055), np.int64(89937), np.int64(85668), np.int64(55832)]",,100,,
warmup,"[ 70009  50104  16917  12560  12648  80329 128004 111984  21527 113154
  48353  54817  70636  38728  49534 124152    333 114567  13677  46679
 105738  64933  85668  86578  70442  57598 123679 130552 129090  15360
  22835 126844  77852  90897  47438 101292 105786  24352  38142  67829
 118535  73696  28164  79595  35511  47581 110241  63655 101154 101961
  50291   5877  50696  89937  20865  76297  89722  11489  40589  52185
  91393  58528 118559 120408 130254 113962   9784  56938   2339  94599
  32603 111077 127183  49367  68019   9191  44695  49309  68303 119529
  39729  19256  69752 130662  76141  80056  40051  80003  39578  53295
  34604   7425  17757  90942  89055  17065  48283  55832  41701  67906]","[np.int64(70009), np.int64(333), np.int64(114567), np.int64(13677), np.int64(46679), np.int64(105738), np.int64(64933), np.int64(70442), np.int64(38142), np.int64(67829), np.int64(89722), np.int64(52185), np.int64(44695), np.int64(49309), np.int64(68303), np.int64(50104), np.int64(16917), np.int64(12560), np.int64(12648), np.int64(80329), np.int64(128004), np.int64(111984), np.int64(21527), np.int64(113154), np.int64(48353), np.int64(54817), np.int64(70636), np.int64(38728), np.int64(49534), np.int64(124152), np.int64(85668), np.int64(86578), np.int64(57598), np.int64(123679), np.int64(130552), np.int64(129090), np.int64(15360), np.int64(22835), np.int64(126844), np.int64(77852), np.int64(90897), np.int64(47438), np.int64(101292), np.int64(105786), np.int64(24352), np.int64(118535), np.int64(73696), np.int64(28164), np.int64(79595), np.int64(35511), np.int64(47581), np.int64(110241), np.int64(63655), np.int64(101154), np.int64(101961), np.int64(50291), np.int64(5877), np.int64(50696), np.int64(89937), np.int64(20865), np.int64(76297), np.int64(11489), np.int64(40589), np.int64(91393), np.int64(58528), np.int64(118559), np.int64(120408), np.int64(130254), np.int64(113962), np.int64(9784), np.int64(56938), np.int64(2339), np.int64(94599), np.int64(32603), np.int64(111077), np.int64(127183), np.int64(49367), np.int64(68019), np.int64(9191), np.int64(119529), np.int64(39729), np.int64(19256), np.int64(69752), np.int64(130662), np.int64(76141), np.int64(80056), np.int64(40051), np.int64(80003), np.int64(39578), np.int64(53295), np.int64(34604), np.int64(7425), np.int64(17757), np.int64(90942), np.int64(89055), np.int64(17065), np.int64(48283), np.int64(55832), np.int64(41701), np.int64(67906)]",mistral:7b,100,,
bigraph,"[ 17757  49367 120408   7425  68303 130662 111077  79595 118559  15360
 124152  63655 129090  35511  41701  38142  40051  54817  58528 113962
  68019 111984  49309  52185  49534  70442  90942  89937  94599  50696
  13677   9784  39578 113154  44695 130552 118535 126844  11489    333
  76297  40589  50291  89722  34604  80003  46679  22835 130254  53295
  47581  17065  67906  90897  85668   9191  20865 101961  24352  67829
  47438 127183  19256   2339 114567  64933  89055 128004  48283  21527
 105786  56938  48353 123679 110241 119529  12648  39729  70636  70009
  91393  38728  80056  57598  12560 101154  69752  16917  32603  50104
  73696  80329 101292  77852   5877  76141  55832  86578 105738  28164]","[np.int64(24352), np.int64(77852), np.int64(12648), np.int64(53295), np.int64(49309), np.int64(129090), np.int64(114567), np.int64(50696), np.int64(64933), np.int64(76297), np.int64(123679), np.int64(50291), np.int64(47581), np.int64(70009), np.int64(111984), np.int64(39729), np.int64(69752), np.int64(11489), np.int64(68303), np.int64(110241), np.int64(90942), np.int64(22835), np.int64(52185), np.int64(94599), np.int64(54817), np.int64(17757), np.int64(90897), np.int64(91393), np.int64(56938), np.int64(70442), np.int64(89722), np.int64(28164), np.int64(118535), np.int64(67906), np.int64(79595), np.int64(89937), np.int64(58528), np.int64(32603), np.int64(40051), np.int64(70636), np.int64(7425), np.int64(55832), np.int64(130552), np.int64(113154), np.int64(128004), np.int64(17065), np.int64(19256), np.int64(101154), np.int64(2339), np.int64(68019), np.int64(333), np.int64(111077), np.int64(9191), np.int64(127183), np.int64(80003), np.int64(48283), np.int64(38728), np.int64(67829), np.int64(48353), np.int64(130254), np.int64(38142), np.int64(9784), np.int64(57598), np.int64(49367), np.int64(120408), np.int64(130662), np.int64(118559), np.int64(15360), np.int64(124152), np.int64(63655), np.int64(35511), np.int64(41701), np.int64(113962), np.int64(49534), np.int64(13677), np.int64(39578), np.int64(44695), np.int64(126844), np.int64(40589), np.int64(34604), np.int64(46679), np.int64(85668), np.int64(20865), np.int64(101961), np.int64(47438), np.int64(89055), np.int64(21527), np.int64(105786), np.int64(119529), np.int64(80056), np.int64(12560), np.int64(16917), np.int64(50104), np.int64(73696), np.int64(80329), np.int64(101292), np.int64(5877), np.int64(76141), np.int64(86578), np.int64(105738)]",mistral:7b,100,,
random,"[ 99887  37212  29758   9439  79291  37118  69987  69178 115663  16859
 109858  52704  56503  35400 121043  56629  63982 110519  64719  94224
  68775 124559 102683 104661  49587  25371  55590  51229  15384 123107
  95841  12242  26118  26996 112110  91491  44259  43118  47712  74276
  29480   8038  24126  88329  53586   2666 122511 120212  77217 125649
 100079  40050  62444  70443  22618  69286   6147  71034  61037  91225
 100562  99871  91901  43409  76489  47874 120156  32491  62922  65881
 126103  85922  34273  72273  97566  88045    392  85481 108112  55146
  17066 110286  10223 121858  62650 117669  17702  44663   5920  64352
 118679  14162  94910  34531  12974  72251  38814  88105  35859 102225]","[ 99887  37212  29758   9439  79291  37118  69987  69178 115663  16859
 109858  52704  56503  35400 121043  56629  63982 110519  64719  94224
  68775 124559 102683 104661  49587  25371  55590  51229  15384 123107
  95841  12242  26118  26996 112110  91491  44259  43118  47712  74276
  29480   8038  24126  88329  53586   2666 122511 120212  77217 125649
 100079  40050  62444  70443  22618  69286   6147  71034  61037  91225
 100562  99871  91901  43409  76489  47874 120156  32491  62922  65881
 126103  85922  34273  72273  97566  88045    392  85481 108112  55146
  17066 110286  10223 121858  62650 117669  17702  44663   5920  64352
 118679  14162  94910  34531  12974  72251  38814  88105  35859 102225]",,100,,
opt,"[ 88045 102225 117669 108112  99871 120212  56503 122511  32491  35400
  97566  35859 110286  55590   2666  40050  76489  37118  10223  99887
  25371  44259  72251  69286  49587 118679  26996  69987   5920  62650
  64719 124559 112110 100079 121858  91225  55146  94910  12242   8038
  17702  29758  91901  79291  71034  24126  43118   9439  95841 126103
  77217  91491  72273  52704  74276 109858 125649  51229  22618  56629
  94224  16859  62922 120156  37212  12974  47712  43409 123107  88105
  70443  47874    392  26118 115663  15384  88329   6147  14162 110519
  85922  17066  64352  34273  34531 100562  44663  63982 121043  61037
  62444  68775  85481  53586 104661  29480  65881 102683  69178  38814]","[np.int64(32491), np.int64(25371), np.int64(72251), np.int64(69286), np.int64(26996), np.int64(69987), np.int64(64719), np.int64(29758), np.int64(71034), np.int64(24126), np.int64(72273), np.int64(74276), np.int64(70443), np.int64(26118), np.int64(64352), np.int64(34273), np.int64(34531), np.int64(63982), np.int64(68775), np.int64(29480), np.int64(65881), np.int64(69178), np.int64(88045), np.int64(102225), np.int64(117669), np.int64(108112), np.int64(99871), np.int64(120212), np.int64(56503), np.int64(122511), np.int64(35400), np.int64(97566), np.int64(35859), np.int64(110286), np.int64(55590), np.int64(2666), np.int64(40050), np.int64(76489), np.int64(37118), np.int64(10223), np.int64(99887), np.int64(44259), np.int64(49587), np.int64(118679), np.int64(5920), np.int64(62650), np.int64(124559), np.int64(112110), np.int64(100079), np.int64(121858), np.int64(91225), np.int64(55146), np.int64(94910), np.int64(12242), np.int64(8038), np.int64(17702), np.int64(91901), np.int64(79291), np.int64(43118), np.int64(9439), np.int64(95841), np.int64(126103), np.int64(77217), np.int64(91491), np.int64(52704), np.int64(109858), np.int64(125649), np.int64(51229), np.int64(22618), np.int64(56629), np.int64(94224), np.int64(16859), np.int64(62922), np.int64(120156), np.int64(37212), np.int64(12974), np.int64(47712), np.int64(43409), np.int64(123107), np.int64(88105), np.int64(47874), np.int64(392), np.int64(115663), np.int64(15384), np.int64(88329), np.int64(6147), np.int64(14162), np.int64(110519), np.int64(85922), np.int64(17066), np.int64(100562), np.int64(44663), np.int64(121043), np.int64(61037), np.int64(62444), np.int64(85481), np.int64(53586), np.int64(104661), np.int64(102683), np.int64(38814)]",,100,,
warmup,"[ 16859  17066 121858  34531 121043  56503  26996  62650 104661 109858
 118679  62444 115663  12242   9439  94224  38814 102683 102225 125649
  35859 110519  68775  14162  44663  29758  91901 120156  69987  64719
  17702   2666  63982  76489  55146  88329  26118  12974 108112  88105
  43118  97566  22618  35400  95841  85481  94910  10223  74276  69286
  52704  91225  44259  99887  79291  91491  72273  47712  85922  47874
   8038  25371 126103  64352 100079  99871  56629  53586  69178  40050
   5920 110286  15384  24126  71034  43409 117669  62922  34273  65881
  29480   6147 120212  70443 123107 112110    392  37118  88045  72251
  77217 122511  37212  61037  51229 100562  55590  32491 124559  49587]","[np.int64(26996), np.int64(56503), np.int64(68775), np.int64(44663), np.int64(29758), np.int64(69987), np.int64(63982), np.int64(26118), np.int64(69286), np.int64(52704), np.int64(25371), np.int64(64352), np.int64(25371), np.int64(64352), np.int64(69178), np.int64(15384), np.int64(24126), np.int64(71034), np.int64(43409), np.int64(65881), np.int64(65881), np.int64(29480), np.int64(120212), np.int64(70443), np.int64(16859), np.int64(17066), np.int64(121858), np.int64(34531), np.int64(121043), np.int64(62650), np.int64(104661), np.int64(109858), np.int64(118679), np.int64(62444), np.int64(115663), np.int64(12242), np.int64(9439), np.int64(94224), np.int64(38814), np.int64(102683), np.int64(102225), np.int64(125649), np.int64(35859), np.int64(110519), np.int64(14162), np.int64(91901), np.int64(120156), np.int64(64719), np.int64(17702), np.int64(2666), np.int64(76489), np.int64(55146), np.int64(88329), np.int64(12974), np.int64(108112), np.int64(88105), np.int64(43118), np.int64(97566), np.int64(22618), np.int64(35400), np.int64(95841), np.int64(85481), np.int64(94910), np.int64(10223), np.int64(74276), np.int64(91225), np.int64(44259), np.int64(99887), np.int64(79291), np.int64(91491), np.int64(72273), np.int64(47712), np.int64(85922), np.int64(47874), np.int64(8038), np.int64(126103), np.int64(100079), np.int64(99871), np.int64(56629), np.int64(53586), np.int64(40050), np.int64(5920), np.int64(110286), np.int64(117669), np.int64(62922), np.int64(34273), np.int64(6147), np.int64(123107), np.int64(112110), np.int64(392), np.int64(37118), np.int64(88045), np.int64(72251), np.int64(77217), np.int64(122511), np.int64(37212), np.int64(61037), np.int64(51229), np.int64(100562), np.int64(55590)]",mistral:7b,100,,
