algorithm,original,reordered,model,size,column,value
warmup,"[109985 101010 121133  25287 114332  34568  72265   8678 118156  95111
  18733   4667   5780 104189  61302  14834  15955  45709  40073  12505
  48809 115805  41590  53982  67693  55141  94602 108110  66091  28292
 125525  38862  59942  82263  98392  87192   8728 105154  50772  63386
 130603  79720 123184  88553   8541 114638  54608 110494 106398 110670
  46125  40690 109940  80339 117710  55312   2945 120587 106957  88122
  25832   3377  88865  67743  83115 103639  18056  70295 114797  35744
  90238  81245  48515  48914  71984  20133  59471  15470  68377  67970
 102825 104517  69680  94141  44448   2499  46038  60994  12823    388
 129252 103955   4136 104008 127473  84311 127105  94248  46988 112082]","[np.int64(121133), np.int64(25287), np.int64(34568), np.int64(72265), np.int64(118156), np.int64(18733), np.int64(61302), np.int64(15955), np.int64(12505), np.int64(48809), np.int64(41590), np.int64(67693), np.int64(55141), np.int64(66091), np.int64(28292), np.int64(59942), np.int64(82263), np.int64(8728), np.int64(50772), np.int64(130603), np.int64(88553), np.int64(8541), np.int64(114638), np.int64(110494), np.int64(106398), np.int64(110670), np.int64(120587), np.int64(25832), np.int64(88865), np.int64(67743), np.int64(18056), np.int64(70295), np.int64(71984), np.int64(68377), np.int64(67970), np.int64(104517), np.int64(69680), np.int64(388), np.int64(129252), np.int64(127473), np.int64(127105), np.int64(46988), np.int64(109985), np.int64(101010), np.int64(114332), np.int64(8678), np.int64(95111), np.int64(4667), np.int64(5780), np.int64(104189), np.int64(14834), np.int64(45709), np.int64(40073), np.int64(115805), np.int64(53982), np.int64(94602), np.int64(108110), np.int64(125525), np.int64(38862), np.int64(98392), np.int64(87192), np.int64(105154), np.int64(63386), np.int64(79720), np.int64(123184), np.int64(54608), np.int64(46125), np.int64(40690), np.int64(109940), np.int64(80339), np.int64(117710), np.int64(55312), np.int64(2945), np.int64(106957), np.int64(88122), np.int64(3377), np.int64(83115), np.int64(103639), np.int64(114797), np.int64(35744), np.int64(90238), np.int64(81245), np.int64(48515), np.int64(48914), np.int64(20133), np.int64(59471), np.int64(15470), np.int64(102825), np.int64(94141), np.int64(44448), np.int64(2499), np.int64(46038), np.int64(60994), np.int64(12823), np.int64(103955), np.int64(4136), np.int64(104008), np.int64(84311), np.int64(94248), np.int64(112082)]",llama3.1:8b,100,,
bigraph,"[ 95111  12505   4667  71984 125525  94141  38862 103955 114797 123184
  20133 109940  12823  18733  53982  79720  46038  59942 121133 102825
  84311 110494   8541   2945  66091  25287  88122  68377  48914  67743
  50772 115805 106957  25832 104008 127473  59471  18056   4136   2499
   8678 108110  40690  88865 110670  48515  90238  61302  15955  48809
  46125 129252  83115  67693 103639 101010 118156  40073  67970 130603
  87192 117710  34568  60994   5780  45709 109985  72265   8728    388
  46988  14834 127105  88553  69680  70295   3377  54608 114638 120587
  28292  55141 112082 104517  35744  94248  15470  94602  41590  63386
 104189  80339  44448 106398  81245  98392  55312  82263 114332 105154]","[np.int64(12505), np.int64(114638), np.int64(83115), np.int64(118156), np.int64(88553), np.int64(44448), np.int64(48809), np.int64(67693), np.int64(28292), np.int64(25832), np.int64(68377), np.int64(41590), np.int64(40690), np.int64(84311), np.int64(94141), np.int64(25287), np.int64(45709), np.int64(34568), np.int64(127473), np.int64(46125), np.int64(72265), np.int64(60994), np.int64(70295), np.int64(102825), np.int64(61302), np.int64(108110), np.int64(103639), np.int64(121133), np.int64(112082), np.int64(71984), np.int64(87192), np.int64(66091), np.int64(82263), np.int64(63386), np.int64(46988), np.int64(94602), np.int64(48914), np.int64(55141), np.int64(38862), np.int64(90238), np.int64(104189), np.int64(67970), np.int64(114332), np.int64(104008), np.int64(15955), np.int64(106957), np.int64(8678), np.int64(48515), np.int64(59942), np.int64(106398), np.int64(88865), np.int64(67743), np.int64(80339), np.int64(55312), np.int64(2499), np.int64(14834), np.int64(12823), np.int64(109940), np.int64(88122), np.int64(103955), np.int64(8728), np.int64(69680), np.int64(98392), np.int64(4136), np.int64(114797), np.int64(18733), np.int64(120587), np.int64(50772), np.int64(40073), np.int64(8541), np.int64(117710), np.int64(35744), np.int64(79720), np.int64(101010), np.int64(130603), np.int64(388), np.int64(95111), np.int64(81245), np.int64(109985), np.int64(104517), np.int64(129252), np.int64(54608), np.int64(15470), np.int64(18056), np.int64(46038), np.int64(2945), np.int64(4667), np.int64(110494), np.int64(3377), np.int64(110670), np.int64(127105), np.int64(125525), np.int64(123184), np.int64(94248), np.int64(115805), np.int64(20133), np.int64(53982), np.int64(59471), np.int64(5780), np.int64(105154)]",llama3.1:8b,100,,
random,"[ 90408  88097  18620  26977  59027  34688  88943  24213  84945  97090
  11999 104470  43040    600  72301  99074  79811 122877 104707 123236
   9770  89916  43566  27210 131831  35943  88881  25641  61254  34337
  50726  81743  40048  20650 128742  51050  29134  55974  44044  66432
  62275  92804  77435  12266 119938  23695  79878  36901  52660  69350
  66250  28587  49163  19809  88795   1400  48086  24407  67896  28047
  41478  91804  55486  59315  49415 111355  39303  69994  28823 113567
  63606  75794  91193  95760  31794  54482  12038 111769  35527  57756
  46911  83719  52528 128898  84278 110058  41065   4215  98497  21935
  53297  70988 128382 114428  26220  71322 106294  69745 101430 118660]","[ 90408  88097  18620  26977  59027  34688  88943  24213  84945  97090
  11999 104470  43040    600  72301  99074  79811 122877 104707 123236
   9770  89916  43566  27210 131831  35943  88881  25641  61254  34337
  50726  81743  40048  20650 128742  51050  29134  55974  44044  66432
  62275  92804  77435  12266 119938  23695  79878  36901  52660  69350
  66250  28587  49163  19809  88795   1400  48086  24407  67896  28047
  41478  91804  55486  59315  49415 111355  39303  69994  28823 113567
  63606  75794  91193  95760  31794  54482  12038 111769  35527  57756
  46911  83719  52528 128898  84278 110058  41065   4215  98497  21935
  53297  70988 128382 114428  26220  71322 106294  69745 101430 118660]",,100,,
opt,"[ 90408 114428 131831  40048  18620  12266  67896   9770  41478 106294
  72301  95760  97090  88795  57756  11999  66432  34688  69350  41065
  52528  88097  98497  21935  12038  92804  34337  63606  43040  88881
 104470  62275  69994  75794  54482  99074  29134  26977  91804  28047
  66250  27210 110058 122877 104707  53297  44044  28823  52660  89916
 111355 119938 123236  36901  84278  84945  61254  43566  49415  79811
  83719  28587  79878  48086  51050  31794  77435 111769  46911  19809
  23695  50726  39303  59027  35943 101430   4215 113567  49163  24407
   1400  25641  24213  35527  59315 128898  88943  20650  71322  26220
    600 128382 118660  55486  69745 128742  91193  70988  55974  81743]","[np.int64(67896), np.int64(72301), np.int64(66432), np.int64(69350), np.int64(34337), np.int64(69994), np.int64(29134), np.int64(26977), np.int64(28047), np.int64(66250), np.int64(27210), np.int64(28823), np.int64(28587), np.int64(31794), np.int64(23695), np.int64(24407), np.int64(25641), np.int64(24213), np.int64(71322), np.int64(26220), np.int64(69745), np.int64(70988), np.int64(90408), np.int64(114428), np.int64(131831), np.int64(40048), np.int64(18620), np.int64(12266), np.int64(9770), np.int64(41478), np.int64(106294), np.int64(95760), np.int64(97090), np.int64(88795), np.int64(57756), np.int64(11999), np.int64(34688), np.int64(41065), np.int64(52528), np.int64(88097), np.int64(98497), np.int64(21935), np.int64(12038), np.int64(92804), np.int64(63606), np.int64(43040), np.int64(88881), np.int64(104470), np.int64(62275), np.int64(75794), np.int64(54482), np.int64(99074), np.int64(91804), np.int64(110058), np.int64(122877), np.int64(104707), np.int64(53297), np.int64(44044), np.int64(52660), np.int64(89916), np.int64(111355), np.int64(119938), np.int64(123236), np.int64(36901), np.int64(84278), np.int64(84945), np.int64(61254), np.int64(43566), np.int64(49415), np.int64(79811), np.int64(83719), np.int64(79878), np.int64(48086), np.int64(51050), np.int64(77435), np.int64(111769), np.int64(46911), np.int64(19809), np.int64(50726), np.int64(39303), np.int64(59027), np.int64(35943), np.int64(101430), np.int64(4215), np.int64(113567), np.int64(49163), np.int64(1400), np.int64(35527), np.int64(59315), np.int64(128898), np.int64(88943), np.int64(20650), np.int64(600), np.int64(128382), np.int64(118660), np.int64(55486), np.int64(128742), np.int64(91193), np.int64(55974), np.int64(81743)]",,100,,
warmup,"[122877  79878  75794  84945  98497 106294  27210  88795  12038  41478
  99074 128742  59027  28823   4215  72301  88881 114428  54482 110058
  21935  83719  24213 123236 131831 128382  69745  52660  25641  34688
  12266  71322 128898   1400  51050  91193  52528  91804  28587  79811
  66250  88943  35943  77435  97090  23695  35527  18620 118660  53297
  46911  62275  44044 119938  26220  61254  20650  55486  28047  48086
  67896  31794  90408  70988  50726  11999  36901  39303  92804  49163
  84278 111769  43566  95760  43040  29134 101430 104470  81743 104707
  34337  89916  49415  88097  55974  41065 111355  19809  59315    600
  63606  57756  66432  69350  40048 113567  24407  26977   9770  69994]","[np.int64(27210), np.int64(88795), np.int64(59027), np.int64(28823), np.int64(54482), np.int64(21935), np.int64(24213), np.int64(69745), np.int64(25641), np.int64(71322), np.int64(128898), np.int64(91193), np.int64(91804), np.int64(28587), np.int64(66250), np.int64(88943), np.int64(97090), np.int64(23695), np.int64(118660), np.int64(46911), np.int64(119938), np.int64(26220), np.int64(55486), np.int64(28047), np.int64(67896), np.int64(31794), np.int64(50726), np.int64(11999), np.int64(92804), np.int64(111769), np.int64(95760), np.int64(29134), np.int64(55974), np.int64(66432), np.int64(69350), np.int64(24407), np.int64(26977), np.int64(69994), np.int64(122877), np.int64(79878), np.int64(75794), np.int64(84945), np.int64(98497), np.int64(106294), np.int64(12038), np.int64(41478), np.int64(99074), np.int64(128742), np.int64(4215), np.int64(72301), np.int64(88881), np.int64(114428), np.int64(110058), np.int64(83719), np.int64(123236), np.int64(131831), np.int64(128382), np.int64(52660), np.int64(34688), np.int64(12266), np.int64(1400), np.int64(51050), np.int64(52528), np.int64(79811), np.int64(35943), np.int64(77435), np.int64(35527), np.int64(18620), np.int64(53297), np.int64(62275), np.int64(44044), np.int64(61254), np.int64(20650), np.int64(48086), np.int64(90408), np.int64(70988), np.int64(36901), np.int64(39303), np.int64(49163), np.int64(84278), np.int64(43566), np.int64(43040), np.int64(101430), np.int64(104470), np.int64(81743), np.int64(104707), np.int64(34337), np.int64(89916), np.int64(49415), np.int64(88097), np.int64(41065), np.int64(111355), np.int64(19809), np.int64(59315), np.int64(600), np.int64(63606), np.int64(57756), np.int64(40048), np.int64(113567), np.int64(9770)]",llama3.1:8b,100,,
bigraph,"[ 71322  84945  31794  92804  41065  69994  69745 110058  52660  49163
  88795   4215 111769  34688  69350  79878  35527  91193  52528  55974
 122877  41478  21935 113567 119938  40048  81743  34337  18620  66432
  88881  28823 111355  43566  43040  46911  75794  39303 123236 104470
  23695  70988  79811  62275  28047  88097  83719  50726  97090 104707
  90408  26220    600  35943  59315  49415 131831  77435 101430  51050
 114428  84278  24407  53297  63606  54482  28587  44044  12266  99074
  24213 106294   1400  67896  89916  11999  29134  12038  55486  95760
 128898  25641  36901  91804  61254  98497   9770 128742 118660  19809
  72301  26977  20650  27210  66250  59027 128382  88943  57756  48086]","[np.int64(21935), np.int64(49163), np.int64(29134), np.int64(122877), np.int64(1400), np.int64(19809), np.int64(26220), np.int64(27210), np.int64(24407), np.int64(24213), np.int64(23695), np.int64(67896), np.int64(52528), np.int64(28823), np.int64(28587), np.int64(41065), np.int64(50726), np.int64(69350), np.int64(63606), np.int64(89916), np.int64(11999), np.int64(53297), np.int64(70988), np.int64(98497), np.int64(91193), np.int64(44044), np.int64(88795), np.int64(114428), np.int64(43040), np.int64(600), np.int64(9770), np.int64(55486), np.int64(69745), np.int64(59315), np.int64(110058), np.int64(131831), np.int64(35943), np.int64(34337), np.int64(61254), np.int64(99074), np.int64(106294), np.int64(25641), np.int64(113567), np.int64(31794), np.int64(26977), np.int64(88097), np.int64(46911), np.int64(66250), np.int64(118660), np.int64(49415), np.int64(95760), np.int64(28047), np.int64(40048), np.int64(52660), np.int64(72301), np.int64(91804), np.int64(43566), np.int64(97090), np.int64(20650), np.int64(81743), np.int64(4215), np.int64(59027), np.int64(92804), np.int64(12038), np.int64(111769), np.int64(66432), np.int64(35527), np.int64(69994), np.int64(57756), np.int64(41478), np.int64(128898), np.int64(75794), np.int64(77435), np.int64(104470), np.int64(79878), np.int64(71322), np.int64(62275), np.int64(18620), np.int64(104707), np.int64(39303), np.int64(83719), np.int64(12266), np.int64(88881), np.int64(54482), np.int64(79811), np.int64(55974), np.int64(128382), np.int64(90408), np.int64(36901), np.int64(101430), np.int64(48086), np.int64(51050), np.int64(88943), np.int64(111355), np.int64(119938), np.int64(84945), np.int64(123236), np.int64(128742), np.int64(84278), np.int64(34688)]",llama3.1:8b,100,,
random,"[ 90812  34152   2973  65199  29894  84909 125041  42045  88514 128469
 111425  97973 118281  58285  95727   4568   3145  52252  75541  52088
   4346  81410  57471 124218  33639 126892  56225  10682 128177  10085
 112886  49207 116011  57929  46056  58380  87008   3915  98336 101940
  99890  55806   2438   2761  68536 103592  30340  57538  55638 109711
  49104  43138 125805 131460  34377  84914  29656  26311  59709  72199
  92985  81216 132097  85554 130355  41775  63650  58791  31726  66075
  25673  87095  84828  75396  18788  93321 121183  74634  28658  18041
  55164 118880  37727  28310  63164  37790 112955  13942 117573  39608
  14481  91861  45918   8089 121529  98258  82136  14170  86487  63906]","[ 90812  34152   2973  65199  29894  84909 125041  42045  88514 128469
 111425  97973 118281  58285  95727   4568   3145  52252  75541  52088
   4346  81410  57471 124218  33639 126892  56225  10682 128177  10085
 112886  49207 116011  57929  46056  58380  87008   3915  98336 101940
  99890  55806   2438   2761  68536 103592  30340  57538  55638 109711
  49104  43138 125805 131460  34377  84914  29656  26311  59709  72199
  92985  81216 132097  85554 130355  41775  63650  58791  31726  66075
  25673  87095  84828  75396  18788  93321 121183  74634  28658  18041
  55164 118880  37727  28310  63164  37790 112955  13942 117573  39608
  14481  91861  45918   8089 121529  98258  82136  14170  86487  63906]",,100,,
opt,"[  2438  52088  18041  93321 109711  49207  57471   4346  58285 125805
  45918  98258  74634  58791  41775  90812   3915  75396 130355  92985
  25673  95727  63650  34152  39608  57929  55638  98336  56225  42045
 111425  85554  58380  43138  82136  57538  30340  63164   8089  33639
  86487  63906  72199  75541 112955   3145 132097 125041  55164 118880
 124218  65199  81216  34377  26311 112886  81410  52252  14170  84914
  84909  68536  91861 121529  31726  97973 131460  10085 128469 121183
  99890  66075 103592 126892 128177  46056  29894 117573   4568   2761
  37727  28658  29656  88514  10682  59709  49104  87095  37790 116011
  84828   2973 101940  18788  55806  14481  87008  28310 118281  13942]","[np.int64(74634), np.int64(25673), np.int64(34152), np.int64(30340), np.int64(33639), np.int64(63906), np.int64(72199), np.int64(65199), np.int64(34377), np.int64(26311), np.int64(68536), np.int64(31726), np.int64(66075), np.int64(29894), np.int64(28658), np.int64(29656), np.int64(28310), np.int64(2438), np.int64(52088), np.int64(18041), np.int64(93321), np.int64(109711), np.int64(49207), np.int64(57471), np.int64(4346), np.int64(58285), np.int64(125805), np.int64(45918), np.int64(98258), np.int64(58791), np.int64(41775), np.int64(90812), np.int64(3915), np.int64(75396), np.int64(130355), np.int64(92985), np.int64(95727), np.int64(63650), np.int64(39608), np.int64(57929), np.int64(55638), np.int64(98336), np.int64(56225), np.int64(42045), np.int64(111425), np.int64(85554), np.int64(58380), np.int64(43138), np.int64(82136), np.int64(57538), np.int64(63164), np.int64(8089), np.int64(86487), np.int64(75541), np.int64(112955), np.int64(3145), np.int64(132097), np.int64(125041), np.int64(55164), np.int64(118880), np.int64(124218), np.int64(81216), np.int64(112886), np.int64(81410), np.int64(52252), np.int64(14170), np.int64(84914), np.int64(84909), np.int64(91861), np.int64(121529), np.int64(97973), np.int64(131460), np.int64(10085), np.int64(128469), np.int64(121183), np.int64(99890), np.int64(103592), np.int64(126892), np.int64(128177), np.int64(46056), np.int64(117573), np.int64(4568), np.int64(2761), np.int64(37727), np.int64(88514), np.int64(10682), np.int64(59709), np.int64(49104), np.int64(87095), np.int64(37790), np.int64(116011), np.int64(84828), np.int64(2973), np.int64(101940), np.int64(18788), np.int64(55806), np.int64(14481), np.int64(87008), np.int64(118281), np.int64(13942)]",,100,,
warmup,"[ 41775  88514 116011  81410  58285 125805   2761  93321  34377  42045
  49104  81216  87095  75396   3145 101940  63164  43138  98258  14170
  10682  84914   3915  97973 125041 103592  63906  68536  29894  25673
 118880  29656  85554  39608  92985  63650  37790  95727 128469 121529
  82136 131460  14481  56225  86487  37727 112955   4346 111425  57471
  84828  74634  55164  34152  66075   2438  30340  59709  28658  52252
  90812  65199 130355  72199  46056  91861  84909  10085   2973  75541
 112886  18788  33639  98336  49207  58791 121183  28310 124218  31726
  58380 117573  45918 109711  26311  57929  52088  57538  87008  13942
  99890 118281 128177  55806  55638   4568   8089 132097 126892  18041]","[np.int64(116011), np.int64(81410), np.int64(125805), np.int64(2761), np.int64(34377), np.int64(3145), np.int64(43138), np.int64(14170), np.int64(10682), np.int64(3915), np.int64(63906), np.int64(68536), np.int64(29894), np.int64(25673), np.int64(29656), np.int64(85554), np.int64(92985), np.int64(95727), np.int64(128469), np.int64(82136), np.int64(84828), np.int64(34152), np.int64(66075), np.int64(30340), np.int64(28658), np.int64(90812), np.int64(65199), np.int64(112886), np.int64(33639), np.int64(49207), np.int64(28310), np.int64(124218), np.int64(58380), np.int64(26311), np.int64(87008), np.int64(118281), np.int64(55638), np.int64(132097), np.int64(41775), np.int64(88514), np.int64(58285), np.int64(93321), np.int64(42045), np.int64(49104), np.int64(81216), np.int64(87095), np.int64(75396), np.int64(101940), np.int64(63164), np.int64(98258), np.int64(84914), np.int64(97973), np.int64(125041), np.int64(103592), np.int64(118880), np.int64(39608), np.int64(63650), np.int64(37790), np.int64(121529), np.int64(131460), np.int64(14481), np.int64(56225), np.int64(86487), np.int64(37727), np.int64(112955), np.int64(4346), np.int64(111425), np.int64(57471), np.int64(74634), np.int64(55164), np.int64(2438), np.int64(59709), np.int64(52252), np.int64(130355), np.int64(72199), np.int64(46056), np.int64(91861), np.int64(84909), np.int64(10085), np.int64(2973), np.int64(75541), np.int64(18788), np.int64(98336), np.int64(58791), np.int64(121183), np.int64(31726), np.int64(117573), np.int64(45918), np.int64(109711), np.int64(57929), np.int64(52088), np.int64(57538), np.int64(13942), np.int64(99890), np.int64(128177), np.int64(55806), np.int64(4568), np.int64(8089), np.int64(126892), np.int64(18041)]",llama3.1:8b,100,,
bigraph,"[112955  42045 121183  56225  87095  98258  84914  59709  57471 118281
  18041   2973  43138 116011   4346  45918  41775  28658  52088  63164
  86487  29656  55638  68536  84828  13942  58380  84909  14481   3915
   4568  30340   3145  65199  49104  81216  63906  10085   2438 103592
  37790  81410  18788 128469  72199  10682  75541 124218  49207  66075
 130355  34377  75396  91861   8089  31726 117573  99890  63650 111425
 132097  55806 118880  58791  95727  33639  57538  25673 125805  37727
  97973  14170  52252 128177  26311  57929  85554  28310  92985 131460
  90812  82136  34152  74634  88514  39608  29894 101940   2761  58285
  98336  87008  46056  55164  93321 109711 121529 112886 125041 126892]","[np.int64(28658), np.int64(14481), np.int64(97973), np.int64(45918), np.int64(8089), np.int64(29656), np.int64(28310), np.int64(116011), np.int64(68536), np.int64(49207), np.int64(26311), np.int64(34377), np.int64(66075), np.int64(31726), np.int64(42045), np.int64(72199), np.int64(34152), np.int64(121529), np.int64(87095), np.int64(85554), np.int64(98336), np.int64(30340), np.int64(112955), np.int64(93321), np.int64(95727), np.int64(25673), np.int64(37790), np.int64(74634), np.int64(33639), np.int64(118281), np.int64(98258), np.int64(63906), np.int64(52088), np.int64(65199), np.int64(75396), np.int64(2973), np.int64(91861), np.int64(10085), np.int64(55806), np.int64(49104), np.int64(81216), np.int64(2761), np.int64(10682), np.int64(56225), np.int64(57471), np.int64(57538), np.int64(58285), np.int64(88514), np.int64(84914), np.int64(57929), np.int64(37727), np.int64(111425), np.int64(43138), np.int64(121183), np.int64(125041), np.int64(4346), np.int64(128177), np.int64(18041), np.int64(14170), np.int64(130355), np.int64(126892), np.int64(131460), np.int64(132097), np.int64(124218), np.int64(101940), np.int64(128469), np.int64(63650), np.int64(52252), np.int64(81410), np.int64(86487), np.int64(13942), np.int64(4568), np.int64(82136), np.int64(103592), np.int64(84828), np.int64(99890), np.int64(29894), np.int64(2438), np.int64(92985), np.int64(55164), np.int64(59709), np.int64(46056), np.int64(41775), np.int64(87008), np.int64(63164), np.int64(55638), np.int64(58380), np.int64(84909), np.int64(3915), np.int64(3145), np.int64(18788), np.int64(75541), np.int64(117573), np.int64(118880), np.int64(58791), np.int64(125805), np.int64(90812), np.int64(39608), np.int64(109711), np.int64(112886)]",llama3.1:8b,100,,
random,"[129849  85542  76904  51511 101252  14173  71958  79043 103167 116878
 102387  59463  78714  66552  14296 103144  34214 123234  39404  53892
 101161  68397  98350 121231  45732 116762  82048  42953  15457  70563
  82340  39354  18727 126377  45531  56734  80260 100914  57692  92247
   6438  55050  68535  76862  79232  81295  19908  70103  45146   7429
 131290  78195  53436  40211  97949 113374   2483  33550 127596  22348
  25664  50435  99081  66731 122695  25538  17918  85623  83655  21381
  84282  33757  59062  88418  63112 119325  15570  80507  92484  50363
 120349  57270  16921   2393  95437 120800  35613  68923 107109 101128
  81811  50338 107856  80267  33963  13480  54664  67590   4119   7749]","[129849  85542  76904  51511 101252  14173  71958  79043 103167 116878
 102387  59463  78714  66552  14296 103144  34214 123234  39404  53892
 101161  68397  98350 121231  45732 116762  82048  42953  15457  70563
  82340  39354  18727 126377  45531  56734  80260 100914  57692  92247
   6438  55050  68535  76862  79232  81295  19908  70103  45146   7429
 131290  78195  53436  40211  97949 113374   2483  33550 127596  22348
  25664  50435  99081  66731 122695  25538  17918  85623  83655  21381
  84282  33757  59062  88418  63112 119325  15570  80507  92484  50363
 120349  57270  16921   2393  95437 120800  35613  68923 107109 101128
  81811  50338 107856  80267  33963  13480  54664  67590   4119   7749]",,100,,
opt,"[  6438  68535  14296 107109   4119 119325  59463  25664  18727  78714
  57692  80507  71958  16921  76862  81295  53892  85542 120349   7429
  66552 103167  82340  78195 121231  54664  14173  63112 107856  67590
  35613  85623  59062  84282 120800  15457  56734  53436 127596  98350
  55050 131290  19908 101161  57270  68397  17918  79043  80260  39404
 100914  45146  68923 126377  34214  92484  82048  33963 102387  33550
  88418  95437  70563   2393 122695 101252  50363   7749 116762 101128
  45531  81811 129849  92247  50435  50338  40211 123234  79232  42953
 103144  80267  70103  33757 113374  21381  76904  66731  45732  13480
  22348  99081  25538  39354  83655   2483 116878  97949  51511  15570]","[np.int64(68535), np.int64(25664), np.int64(71958), np.int64(66552), np.int64(67590), np.int64(68397), np.int64(68923), np.int64(34214), np.int64(33963), np.int64(33550), np.int64(70103), np.int64(33757), np.int64(66731), np.int64(25538), np.int64(6438), np.int64(14296), np.int64(107109), np.int64(4119), np.int64(119325), np.int64(59463), np.int64(18727), np.int64(78714), np.int64(57692), np.int64(80507), np.int64(16921), np.int64(76862), np.int64(81295), np.int64(53892), np.int64(85542), np.int64(120349), np.int64(7429), np.int64(103167), np.int64(82340), np.int64(78195), np.int64(121231), np.int64(54664), np.int64(14173), np.int64(63112), np.int64(107856), np.int64(35613), np.int64(85623), np.int64(59062), np.int64(84282), np.int64(120800), np.int64(15457), np.int64(56734), np.int64(53436), np.int64(127596), np.int64(98350), np.int64(55050), np.int64(131290), np.int64(19908), np.int64(101161), np.int64(57270), np.int64(17918), np.int64(79043), np.int64(80260), np.int64(39404), np.int64(100914), np.int64(45146), np.int64(126377), np.int64(92484), np.int64(82048), np.int64(102387), np.int64(88418), np.int64(95437), np.int64(70563), np.int64(2393), np.int64(122695), np.int64(101252), np.int64(50363), np.int64(7749), np.int64(116762), np.int64(101128), np.int64(45531), np.int64(81811), np.int64(129849), np.int64(92247), np.int64(50435), np.int64(50338), np.int64(40211), np.int64(123234), np.int64(79232), np.int64(42953), np.int64(103144), np.int64(80267), np.int64(113374), np.int64(21381), np.int64(76904), np.int64(45732), np.int64(13480), np.int64(22348), np.int64(99081), np.int64(39354), np.int64(83655), np.int64(2483), np.int64(116878), np.int64(97949), np.int64(51511), np.int64(15570)]",,100,,
warmup,"[120349  39404  34214  85542   7749  97949  33757  14173  50435  16921
  68923 101252 121231   2393  71958  76904 123234  80267 122695  99081
  42953  68535  82340 113374  22348  79232  88418  15457 107109  56734
  57270   4119   7429  59062  66552  79043 101161  76862  18727  50363
  54664  45146  40211  63112  80507  66731  55050 100914  80260  85623
  67590  83655 131290  13480  70563  14296  33963  92484  21381  70103
  19908  59463 120800 101128 119325  50338  82048  81295  35613 127596
  33550  39354  17918   6438  68397 102387 103144 103167  81811  53892
  15570 126377 107856  25664  92247  45732  95437  78714  53436  51511
 129849 116878  25538  98350  57692  45531  78195   2483  84282 116762]","[np.int64(120349), np.int64(34214), np.int64(33757), np.int64(68923), np.int64(71958), np.int64(42953), np.int64(68535), np.int64(66552), np.int64(79043), np.int64(54664), np.int64(66731), np.int64(55050), np.int64(80260), np.int64(67590), np.int64(131290), np.int64(14296), np.int64(92484), np.int64(21381), np.int64(70103), np.int64(19908), np.int64(120800), np.int64(35613), np.int64(33550), np.int64(68397), np.int64(102387), np.int64(103144), np.int64(103167), np.int64(107856), np.int64(25664), np.int64(92247), np.int64(95437), np.int64(53436), np.int64(51511), np.int64(25538), np.int64(57692), np.int64(84282), np.int64(39404), np.int64(85542), np.int64(7749), np.int64(97949), np.int64(14173), np.int64(50435), np.int64(16921), np.int64(101252), np.int64(121231), np.int64(2393), np.int64(76904), np.int64(123234), np.int64(80267), np.int64(122695), np.int64(99081), np.int64(82340), np.int64(113374), np.int64(22348), np.int64(79232), np.int64(88418), np.int64(15457), np.int64(107109), np.int64(56734), np.int64(57270), np.int64(4119), np.int64(7429), np.int64(59062), np.int64(101161), np.int64(76862), np.int64(18727), np.int64(50363), np.int64(45146), np.int64(40211), np.int64(63112), np.int64(80507), np.int64(100914), np.int64(85623), np.int64(83655), np.int64(13480), np.int64(70563), np.int64(33963), np.int64(59463), np.int64(101128), np.int64(119325), np.int64(50338), np.int64(82048), np.int64(81295), np.int64(127596), np.int64(39354), np.int64(17918), np.int64(6438), np.int64(81811), np.int64(53892), np.int64(15570), np.int64(126377), np.int64(45732), np.int64(78714), np.int64(129849), np.int64(116878), np.int64(98350), np.int64(45531), np.int64(78195), np.int64(2483), np.int64(116762)]",llama3.1:8b,100,,
